percentage,ML,outlier,imputation,r2
0,reg,none,none,0.8858922240358719
0,clf,none,none,0.911818181818182
0,reg,none,none,0.883912687220678
0,clf,none,none,0.9093939393939394
0,reg,none,none,0.8857278820242394
0,clf,none,none,0.9112121212121213
0,reg,none,none,0.8861628856256488
0,clf,none,none,0.9090909090909092
0,reg,none,none,0.8860640942235963
0,clf,none,none,0.906969696969697
0,reg,none,none,0.8854974285927124
0,clf,none,none,0.9090909090909092
0,reg,none,none,0.8854498463691411
0,clf,none,none,0.9093939393939394
0,reg,none,none,0.8853626524612684
0,clf,none,none,0.9121212121212121
10,reg,none,none,0.8440785402708771
10,clf,none,none,0.8981818181818182
10,reg,none,none,0.8310535784046892
10,clf,none,none,0.8987878787878788
10,reg,none,none,0.8412719712561253
10,clf,none,none,0.901818181818182
10,reg,none,none,0.8331051907633569
10,clf,none,none,0.8960606060606061
10,reg,none,none,0.8411100130553435
10,clf,none,none,0.8972727272727272
10,reg,none,none,0.8448463816750185
10,clf,none,none,0.8987878787878788
10,reg,none,none,0.8427240287083091
10,clf,none,none,0.899090909090909
10,reg,none,none,0.8447530587524807
10,clf,none,none,0.8981818181818182
20,reg,none,none,0.8124754075200857
20,clf,none,none,0.8787878787878788
20,reg,none,none,0.8017275674299387
20,clf,none,none,0.8863636363636365
20,reg,none,none,0.8071190137348097
20,clf,none,none,0.8796969696969696
20,reg,none,none,0.8066165663379666
20,clf,none,none,0.88
20,reg,none,none,0.8012037327207937
20,clf,none,none,0.8812121212121212
20,reg,none,none,0.8132853166753498
20,clf,none,none,0.8875757575757576
20,reg,none,none,0.7991480644189539
20,clf,none,none,0.8842424242424243
20,reg,none,none,0.8096920656571428
20,clf,none,none,0.8845454545454545
30,reg,none,none,0.7825189370125841
30,clf,none,none,0.8721212121212121
30,reg,none,none,0.7688068096290759
30,clf,none,none,0.8706060606060605
30,reg,none,none,0.7897555513357808
30,clf,none,none,0.8754545454545456
30,reg,none,none,0.7773599963694598
30,clf,none,none,0.8763636363636363
30,reg,none,none,0.7717161692659383
30,clf,none,none,0.873030303030303
30,reg,none,none,0.7674769169695911
30,clf,none,none,0.8678787878787879
30,reg,none,none,0.7837595522274445
30,clf,none,none,0.8724242424242425
30,reg,none,none,0.7806340890513929
30,clf,none,none,0.8748484848484849
40,reg,none,none,0.7572777834666903
40,clf,none,none,0.860909090909091
40,reg,none,none,0.7570220487415316
40,clf,none,none,0.863939393939394
40,reg,none,none,0.755562618976407
40,clf,none,none,0.866969696969697
40,reg,none,none,0.7489160795387741
40,clf,none,none,0.8666666666666667
40,reg,none,none,0.7593524536937489
40,clf,none,none,0.8621212121212121
40,reg,none,none,0.7676835992462909
40,clf,none,none,0.8721212121212121
40,reg,none,none,0.7658374494360871
40,clf,none,none,0.8684848484848485
40,reg,none,none,0.755496528357898
40,clf,none,none,0.8706060606060605
50,reg,none,none,0.735900635732198
50,clf,none,none,0.8599999999999999
50,reg,none,none,0.7364896247625633
50,clf,none,none,0.8575757575757575
50,reg,none,none,0.7190122503303168
50,clf,none,none,0.8481818181818181
50,reg,none,none,0.7355376381994595
50,clf,none,none,0.8527272727272728
50,reg,none,none,0.7188912485489095
50,clf,none,none,0.8481818181818181
50,reg,none,none,0.7359264936235596
50,clf,none,none,0.8572727272727273
50,reg,none,none,0.7220826152758104
50,clf,none,none,0.8590909090909091
50,reg,none,none,0.7237515629079008
50,clf,none,none,0.8493939393939394
10,reg,z,drop,0.877540545498916
10,reg,z,locf,0.7377896352000111
10,reg,z,mean,0.8002223023246894
10,reg,z,interpolation,0.749670527052718
10,reg,lof,drop,0.862466017194429
10,reg,lof,locf,0.7998622599824035
10,reg,lof,mean,0.8269153087962067
10,reg,lof,interpolation,0.8025826830160239
10,reg,iforest,drop,0.8620581025528536
10,reg,iforest,locf,0.7998292099221559
10,reg,iforest,mean,0.822675907025114
10,reg,iforest,interpolation,0.8098755450199469
10,clf,z,drop,0.9112662013958126
10,clf,z,locf,0.8781818181818182
10,clf,z,mean,0.8839393939393939
