percentage,outlier,correction,imputation,r2
0,none,none,none,0.7830631153682421
0,none,none,none,0.7828801903945494
0,none,none,none,0.7839271878388013
0,none,none,none,0.7840793997914128
10,none,none,none,0.7753776466933301
10,none,none,none,0.7756264480542997
10,none,none,none,0.7812123804950447
10,none,none,none,0.7789522696183379
20,none,none,none,0.771766185252723
20,none,none,none,0.7693526664520928
20,none,none,none,0.7743567479711653
20,none,none,none,0.7723385092281991
30,none,none,none,0.7633766372414799
30,none,none,none,0.7670769374821746
30,none,none,none,0.7679047514213456
30,none,none,none,0.7678623979770335
40,none,none,none,0.76211286366796
40,none,none,none,0.7648330803293193
40,none,none,none,0.7640276194181699
40,none,none,none,0.7562677178768901
50,none,none,none,0.7595680120817149
50,none,none,none,0.755272909399985
50,none,none,none,0.7562950020538549
50,none,none,none,0.7591244597466552
10,none,none,none,0.7813843114117301
10,none,none,none,0.7727452235313668
20,none,none,none,0.773854829895007
20,none,none,none,0.766472241910132
30,none,none,none,0.7652475442427511
30,none,none,none,0.771264569688927
40,none,none,none,0.757423324726494
40,none,none,none,0.7553563526025516
50,none,none,none,0.7558671954999613
50,none,none,none,0.7501083102928017
10,none,none,none,0.7759594042539218
10,none,none,none,0.7738953679325223
20,none,none,none,0.7656350693269018
20,none,none,none,0.7721220344241527
30,none,none,none,0.7698683400284925
30,none,none,none,0.7608745573710689
40,none,none,none,0.7534721154311359
40,none,none,none,0.7596054475430016
50,none,none,none,0.7543897153208566
50,none,none,none,0.7538021809986784
10,z,drop,LOCF,0.7873416842975562
10,z,drop,interpolation,0.7875632524355365
10,z,LOCF,LOCF,0.7760303546881737
10,z,LOCF,interpolation,0.7754061114682285
10,lof,drop,LOCF,0.7911303319498991
10,lof,drop,interpolation,0.7905734490507534
10,lof,LOCF,LOCF,0.7686176907400503
10,lof,LOCF,interpolation,0.7684347227804947
10,hst,drop,LOCF,0.7914669413503554
10,hst,drop,interpolation,0.7915630768576514
10,hst,LOCF,LOCF,0.7667054811043545
10,hst,LOCF,interpolation,0.7661541176869924
10,z,drop,LOCF,0.7865166104233985
10,z,drop,interpolation,0.7865686448348653
10,z,LOCF,LOCF,0.7792253593487182
10,z,LOCF,interpolation,0.7799887706027663
10,lof,drop,LOCF,0.796547715356978
10,lof,drop,interpolation,0.795859969844987
10,lof,LOCF,LOCF,0.77046091732478
10,lof,LOCF,interpolation,0.7722564679194847
10,hst,drop,LOCF,0.7752714966352515
10,hst,drop,interpolation,0.7762506987744365
10,hst,LOCF,LOCF,0.7711930796438887
10,hst,LOCF,interpolation,0.7715242016086532
10,z,drop,LOCF,0.7840299790609555
10,z,drop,interpolation,0.7847617117458494
10,z,LOCF,LOCF,0.7746304804952451
10,z,LOCF,interpolation,0.775306509435437
10,lof,drop,LOCF,0.7847607185395242
10,lof,drop,interpolation,0.7862354891067577
10,lof,LOCF,LOCF,0.7663130567366536
10,lof,LOCF,interpolation,0.7658223696421425
10,hst,drop,LOCF,0.7962762564160155
10,hst,drop,interpolation,0.7964228627290232
10,hst,LOCF,LOCF,0.767069939976448
10,hst,LOCF,interpolation,0.7665881834614442
10,z,drop,LOCF,0.789605929298884
10,z,drop,interpolation,0.7887668829126615
10,z,LOCF,LOCF,0.7821433586459574
10,z,LOCF,interpolation,0.7813644493771241
10,lof,drop,LOCF,0.7896661655515768
10,lof,drop,interpolation,0.7911791304524123
10,lof,LOCF,LOCF,0.7703331793360176
10,lof,LOCF,interpolation,0.7683226641851133
10,hst,drop,LOCF,0.7834137566238029
10,hst,drop,interpolation,0.783643400133592
10,hst,LOCF,LOCF,0.7686282137987235
10,hst,LOCF,interpolation,0.767830367038103
10,z,drop,LOCF,0.7847125073026212
10,z,drop,interpolation,0.7849209375949514
10,z,LOCF,LOCF,0.7775474255080994
10,z,LOCF,interpolation,0.7771947122933069
10,lof,drop,LOCF,0.7827058575229016
10,lof,drop,interpolation,0.7966357076502668
10,lof,LOCF,LOCF,0.766710574728563
10,lof,LOCF,interpolation,0.7659992290232099
10,hst,drop,LOCF,0.7912857546015675
10,hst,drop,interpolation,0.791829269936135
10,hst,LOCF,LOCF,0.7684804572096265
10,hst,LOCF,interpolation,0.7686941026756604
10,z,drop,LOCF,0.7842448117432474
10,z,drop,interpolation,0.7841629225752241
10,z,LOCF,LOCF,0.7823560178257157
10,z,LOCF,interpolation,0.781956042915845
10,lof,drop,LOCF,0.7985499431479918
10,lof,drop,interpolation,0.7969104269909422
10,lof,LOCF,LOCF,0.7649886696102106
10,lof,LOCF,interpolation,0.7635064665600113
10,hst,drop,LOCF,0.79244394598205
10,hst,drop,interpolation,0.7919151956957262
10,hst,LOCF,LOCF,0.7740240152938762
10,hst,LOCF,interpolation,0.7743358596644379
10,z,drop,LOCF,0.7778549483900004
10,z,drop,interpolation,0.7767839846430428
10,z,LOCF,LOCF,0.7729829695926794
10,z,LOCF,interpolation,0.7720332094974097
10,lof,drop,LOCF,0.7921049577715087
10,lof,drop,interpolation,0.7913706962925656
10,lof,LOCF,LOCF,0.7694924465857956
10,lof,LOCF,interpolation,0.769915736682881
10,hst,drop,LOCF,0.78470859878698
10,hst,drop,interpolation,0.7846260459668504
10,hst,LOCF,LOCF,0.7635689768790046
10,hst,LOCF,interpolation,0.7615352367705496
10,z,drop,LOCF,0.7863632070014438
10,z,drop,interpolation,0.7872230918577672
10,z,LOCF,LOCF,0.7756555855454512
10,z,LOCF,interpolation,0.7755805422793751
10,lof,drop,LOCF,0.7873555935715568
10,lof,drop,interpolation,0.7827641874918098
10,lof,LOCF,LOCF,0.7731036675556178
10,lof,LOCF,interpolation,0.7717974261057262
10,hst,drop,LOCF,0.7874684666034006
10,hst,drop,interpolation,0.7879446275785438
10,hst,LOCF,LOCF,0.7700911196508717
10,hst,LOCF,interpolation,0.7697570262614902
20,z,drop,LOCF,0.7765439199425934
20,z,drop,interpolation,0.7760519426283226
20,z,LOCF,LOCF,0.7702919346672689
20,z,LOCF,interpolation,0.7700415279926266
20,lof,drop,LOCF,0.7959039098607756
20,lof,drop,interpolation,0.792759893261419
20,lof,LOCF,LOCF,0.7639098679327143
20,lof,LOCF,interpolation,0.7645472269331528
20,hst,drop,LOCF,0.7828768569178997
20,hst,drop,interpolation,0.7821135149496284
20,hst,LOCF,LOCF,0.7739864286268827
20,hst,LOCF,interpolation,0.7723032226501267
20,z,drop,LOCF,0.778187441380566
20,z,drop,interpolation,0.7756177459285656
20,z,LOCF,LOCF,0.7729872430608924
20,z,LOCF,interpolation,0.7706856095935812
20,lof,drop,LOCF,0.7970955086063745
20,lof,drop,interpolation,0.782252644836047
20,lof,LOCF,LOCF,0.7645830294384997
20,lof,LOCF,interpolation,0.764502157013815
20,hst,drop,LOCF,0.7770916566310726
20,hst,drop,interpolation,0.776941354268647
20,hst,LOCF,LOCF,0.7622929553679318
20,hst,LOCF,interpolation,0.7607260649185339
20,z,drop,LOCF,0.7781990238745591
20,z,drop,interpolation,0.776601259771201
20,z,LOCF,LOCF,0.7760547013943533
20,z,LOCF,interpolation,0.7737629253552638
20,lof,drop,LOCF,0.7994291765908359
20,lof,drop,interpolation,0.7986441887300508
20,lof,LOCF,LOCF,0.7649657674321481
20,lof,LOCF,interpolation,0.7664446479955281
20,hst,drop,LOCF,0.7772971427802924
20,hst,drop,interpolation,0.7748187399589291
20,hst,LOCF,LOCF,0.7695222376617172
20,hst,LOCF,interpolation,0.7678230938282427
20,z,drop,LOCF,0.7848743287413729
20,z,drop,interpolation,0.7852033817049501
20,z,LOCF,LOCF,0.7752086647749309
20,z,LOCF,interpolation,0.7737039360125313
20,lof,drop,LOCF,0.7886055248075643
20,lof,drop,interpolation,0.7942892971871285
20,lof,LOCF,LOCF,0.7676962963744047
20,lof,LOCF,interpolation,0.7667345171356837
20,hst,drop,LOCF,0.790903880607073
20,hst,drop,interpolation,0.7897297002419427
20,hst,LOCF,LOCF,0.7734157678366401
20,hst,LOCF,interpolation,0.7739463137489735
20,z,drop,LOCF,0.7824893083844353
20,z,drop,interpolation,0.7820499339167343
20,z,LOCF,LOCF,0.7769127563719758
20,z,LOCF,interpolation,0.777664293254722
20,lof,drop,LOCF,0.7903624579071129
20,lof,drop,interpolation,0.7935096230536289
20,lof,LOCF,LOCF,0.7648078246938663
20,lof,LOCF,interpolation,0.7657979699837334
20,hst,drop,LOCF,0.7839061770634612
20,hst,drop,interpolation,0.7849896320684351
20,hst,LOCF,LOCF,0.773520086547905
20,hst,LOCF,interpolation,0.774031156213866
20,z,drop,LOCF,0.7818726824903933
20,z,drop,interpolation,0.7806454544052254
20,z,LOCF,LOCF,0.7775548843889926
20,z,LOCF,interpolation,0.7774399574450461
20,lof,drop,LOCF,0.7938214972685932
20,lof,drop,interpolation,0.795506122698811
20,lof,LOCF,LOCF,0.7698823274378652
20,lof,LOCF,interpolation,0.7692146431894351
20,hst,drop,LOCF,0.7905345377617589
20,hst,drop,interpolation,0.7897050149379989
20,hst,LOCF,LOCF,0.777383295898889
20,hst,LOCF,interpolation,0.7765372071174581
20,z,drop,LOCF,0.7756657354497072
20,z,drop,interpolation,0.777932835798614
20,z,LOCF,LOCF,0.773322295716951
20,z,LOCF,interpolation,0.7731667929427276
20,lof,drop,LOCF,0.7988099541628876
20,lof,drop,interpolation,0.7978587256693657
20,lof,LOCF,LOCF,0.7628632322761053
20,lof,LOCF,interpolation,0.7635262697973835
20,hst,drop,LOCF,0.786244830597061
20,hst,drop,interpolation,0.7840021742383836
20,hst,LOCF,LOCF,0.7669180169122403
20,hst,LOCF,interpolation,0.7662063260888308
20,z,drop,LOCF,0.7733472317567622
20,z,drop,interpolation,0.7748720320620075
20,z,LOCF,LOCF,0.7704805418802267
20,z,LOCF,interpolation,0.7716838021443367
20,lof,drop,LOCF,0.7999327226902432
20,lof,drop,interpolation,0.8053331346004361
20,lof,LOCF,LOCF,0.7651814810435573
20,lof,LOCF,interpolation,0.7683548597267851
20,hst,drop,LOCF,0.7755642776218206
20,hst,drop,interpolation,0.7751859670617256
20,hst,LOCF,LOCF,0.7608383045716506
20,hst,LOCF,interpolation,0.7612395296584575
30,z,drop,LOCF,0.7729522365125586
30,z,drop,interpolation,0.7732069145278839
30,z,LOCF,LOCF,0.7631167043948933
30,z,LOCF,interpolation,0.7634020894006069
30,lof,drop,LOCF,0.7927911565731516
30,lof,drop,interpolation,0.7927402680538527
30,lof,LOCF,LOCF,0.7595148358237997
30,lof,LOCF,interpolation,0.7577134578003379
30,hst,drop,LOCF,0.7788573800562741
30,hst,drop,interpolation,0.779054543962527
30,hst,LOCF,LOCF,0.7594947368352494
30,hst,LOCF,interpolation,0.7603666591009808
30,z,drop,LOCF,0.7793645385845692
30,z,drop,interpolation,0.7790580255232186
30,z,LOCF,LOCF,0.7711653124439243
30,z,LOCF,interpolation,0.7710320048505404
30,lof,drop,LOCF,0.7971538760418478
30,lof,drop,interpolation,0.79540031851972
30,lof,LOCF,LOCF,0.7603774695199212
30,lof,LOCF,interpolation,0.7630036881183621
30,hst,drop,LOCF,0.7790099689610221
30,hst,drop,interpolation,0.7795776819162394
30,hst,LOCF,LOCF,0.7690913336201353
30,hst,LOCF,interpolation,0.7697062168304607
30,z,drop,LOCF,0.779215108200203
30,z,drop,interpolation,0.7782323629394335
30,z,LOCF,LOCF,0.7720340087840384
30,z,LOCF,interpolation,0.7707940713327432
30,lof,drop,LOCF,0.7953836377800352
30,lof,drop,interpolation,0.7939612566045888
30,lof,LOCF,LOCF,0.7625883231495276
30,lof,LOCF,interpolation,0.759161452002785
30,hst,drop,LOCF,0.7747621416402548
30,hst,drop,interpolation,0.7735264229352787
30,hst,LOCF,LOCF,0.7678284028494812
30,hst,LOCF,interpolation,0.7688689338045456
30,z,drop,LOCF,0.7783526175489235
30,z,drop,interpolation,0.7790499469199212
30,z,LOCF,LOCF,0.7750985451902428
30,z,LOCF,interpolation,0.7755294072336724
30,lof,drop,LOCF,0.7916106737373022
30,lof,drop,interpolation,0.7916112039058819
30,lof,LOCF,LOCF,0.7569437996922976
